"id","relayid","sensorid","net_address","channel"
"1","1","1","1","0"
"2","1","2","2","0"
"3","1","3","3","0"
"4","1","4","4","0"
"5","1","5","5","0"
"6","1","6","6","0"
"7","1","7","7","0"
"8","1","8","8","0"
"9","1","9","9","0"
"10","1","10","10","0"
"11","2","11","1","5"
"12","2","12","2","5"
"13","2","13","3","5"
"14","2","14","4","5"
"15","2","15","5","5"
"16","2","16","6","5"
"17","2","17","7","5"
"18","2","18","8","5"
"19","2","19","9","5"
"20","2","20","10","5"
"21","3","21","1","10"
"22","3","22","2","10"
"23","3","23","3","10"
"24","3","24","4","10"
"25","3","25","5","10"
"26","3","26","6","10"
"27","3","27","7","10"
"28","3","28","8","10"
"29","3","29","9","10"
"30","3","30","10","10"
