"id","relayid","sensorid","update_time","acc_scale","acc_fchoice","acc_dlpf","gyo_scale","gyo_fchoice","gyo_dlpf","split_data_VAR_LEN","split_data_MEAN_WIDTH_1","split_data_MEAN_WIDTH_2","get_valid_data_WIDTH","split_data_WIDTH","update_middlevalue_cnt","listened_data_STABLECNT","listened_data_SLOP","listened_data_COUNT","open_angle_threshold","open_angle_cnt"
"1","1","1","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"2","1","2","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"3","1","3","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"4","1","4","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"5","1","5","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"6","1","6","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"7","1","7","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"8","1","8","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"9","1","9","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"10","1","10","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"11","2","11","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"12","2","12","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"13","2","13","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"14","2","14","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"15","2","15","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"16","2","16","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"17","2","17","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"18","2","18","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"19","2","19","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"20","2","20","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"21","3","21","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"22","3","22","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"23","3","23","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"24","3","24","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"25","3","25","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"26","3","26","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"27","3","27","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"28","3","28","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"29","3","29","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
"30","3","30","2017-5-2 10:31:48","0","0","5","2","1","6","2","20","10","2","20","5000","300","400","700","30","500"
